year	congress	party	district	statenam	name	ngirls	nboys	totchi	anygirls	propgirls	rgroup	statabb	statalph	region	repub	srvlng	female	white	bday	age	demvote	medinc	perf	perw	perhs	percol	perur	alabort	moreserv	moredef	morecrimesp	protgay	dr1per	dr2per	dr3per	dr4per	dr5per	aauw	rtl	nowtot	now1	now2	now3	now4	now5	now6	now7	now8	now9	now10	now11	now12	now13	now14	now15	now16	now17	now18	now19	now20
"1997-1998"	105.0	1.0	8.0	"VIRGINI"	"MORAN, JAMES P., JR."	2	3	5.0	1.0	0.4	2.0	"VA"	47.0	"5"	0.0	7.0	0.0	1.0	1945-05-16	51.0	0.55	58582	0.51027375	0.7596803	0.886	0.48	0.9978275	0.46741155	0.3363431	0.2874494	0.54264975	0.6042403	0.61	0.14	0.01	0.06	0.17	75	21	85	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1
"1997-1998"	105.0	2.0	1.0	"KANSAS"	"MORAN, JERRY"	2	0	2.0	1.0	1.0	1.0	"KS"	17.0	"4"	1.0	1.0	0.0	1.0	1954-05-29	42.0	0.28	28624	0.5188468	0.94228816	0.77900004	0.152	0.48665094	0.45360824	0.18987341	0.18888889	0.6831683	0.39240506	0.5	0.2	0.02	0.08	0.2	25	100	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"1997-1998"	105.0	2.0	8.0	"MARYLAN"	"MORELLA, CONSTANCE A."	1	2	3.0	1.0	0.33333334	2.0	"MD"	21.0	"5"	1.0	11.0	1.0	1.0	1931-02-12	65.0	0.57	64199	0.5253485	0.8147978	0.91300005	0.511	0.94317716	0.5591398	0.40397352	0.17159763	0.62827224	0.7425743	0.5	0.22	0.03	0.07	0.18	100	5	95	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
"1997-1998"	105.0	1.0	12.0	"PENNSYL"	"MURTHA, JOHN P."	1	2	3.0	1.0	0.33333334	2.0	"PA"	39.0	"2"	0.0	24.0	0.0	1.0	1932-01-17	65.0	0.46	26703	0.52953	0.9827393	0.71599996	0.108	0.30024707	0.42366412	0.41968912	0.17213115	0.47565544	0.6730769	0.48	0.27	0.01	0.06	0.18	63	95	50	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	9.0	"NORTH C"	"MYRICK, SUE"	3	2	5.0	1.0	0.6	1.0	"NC"	34.0	"5"	1.0	3.0	1.0	1.0	1941-08-01	55.0	0.38	41441	0.5239815	0.8914475	0.785	0.262	0.7566706	0.2704918	0.44594595	0.20408164	0.75	0.6625	0.69	0.1	0.01	0.05	0.15	13	100	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"1997-1998"	105.0	1.0	8.0	"NEW YOR"	"NADLER, JERROLD"	0	1	1.0	0.0	0.0	4.0	"NY"	33.0	"2"	0.0	5.0	0.0	1.0	1947-06-13	49.0	0.77	39777	0.5163645	0.80359346	0.786	0.42099997	1.0	0.56880736	0.4726477	0.17092338	0.588551	0.7051282	0.3	0.38	0.0	0.12	0.19	88	0	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	2.0	"MASSACH"	"NEAL, RICHARD E."	1	3	4.0	1.0	0.25	2.0	"MA"	22.0	"1"	0.0	9.0	0.0	1.0	1949-02-14	47.0	0.61	39812	0.5353782	0.89161354	0.747	0.188	0.7892968	0.58878505	0.40677965	0.17073171	0.6711111	0.7659575	0.24	0.44	0.01	0.08	0.23	75	55	80	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	5.0	"WASHING"	"NETHERCUTT, GEORGE R."	1	1	2.0	1.0	0.5	1.0	"WA"	48.0	"9"	1.0	3.0	0.0	1.0	1944-10-07	52.0	0.44	31003	0.51631236	0.9320751	0.83	0.203	0.7127273	0.5913978	0.26923078	0.20555556	0.52910054	0.7079646	0.39	0.2	0.04	0.05	0.31	0	100	10	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	1.0	"WISCONS"	"NEUMANN, MARK W."	1	2	3.0	1.0	0.33333334	1.0	"WI"	50.0	"3"	1.0	3.0	0.0	1.0	1954-02-27	42.0	0.5	36634	0.5206487	0.92033744	0.77099997	0.148	0.71415377	0.37906137	0.27542374	0.15969582	0.47517732	0.7092199	0.5	0.28	0.0	0.02	0.2	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	18.0	"OHIO"	"NEY, ROBERT WILLIAM (BOB)"	1	1	2.0	1.0	0.5	2.0	"OH"	36.0	"3"	1.0	3.0	0.0	1.0	1954-07-05	42.0	0.47	27586	0.5318808	0.971312	0.714	0.085	0.40117007	0.38059703	0.36507937	0.19574468	0.5441176	0.59006214	0.54	0.19	0.01	0.06	0.2	25	100	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
